"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,essential_study_participant_details,,text,"Record ID:",,,,,,,,y,,,,,
screen_date,essential_study_participant_details,,text,"Date of screening visit (if applicable):",,DD-MM-YYYY,date_dmy,,,,,,,,,,
case_control,essential_study_participant_details,,radio,"Case or control participant?","1, Case | 2, Control",,,,,,,y,,,,,
adult_paed,essential_study_participant_details,,radio,"Is this a paediatric participant or an adult participant?","1, Adult | 2, Paediatric",,,,,,,y,,,,,
site,essential_study_participant_details,,text,"Study site participant recruited from:",,,,,,,,,,,,,
essential_version,essential_study_participant_details,,descriptive,"Essential Study Participant Details - Core Instrument Version 2.0 Released September 2022
H3ABioNet & H3Africa Phenotype Standards",,,,,,,,,,,,,
desc_study_details,study_consent,"<p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>PAGE ONE</strong></p>",descriptive,"<div class=""rich-text-field-label""><p>Who are we?<br /><span style=""font-weight: normal;"">Name, job title, and institutional affiliation of the main researcher.</span><br /><span style=""font-weight: normal;"">Include information about the principal investigator (If they are not the main researcher) and the rest of the research team (if they are directly in contact with the participants e.g. study clinicians). Include information about collaborators (If there are any).</span></p></div>",,,,,,,,,,,,," @readonly"
desc_study_rationale,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>Why are we doing this study?</p> <p><span style=""font-weight: normal;"">We want to study something called ""genes"". These ""genes"" are present in all of us and are the same in all parts of our bodies. ""Genes"" are sometimes also called DNA, which is the name of the material they are made from. Genes are responsible for why people in families are often more like each other, and different from other families. For example, some families are generally taller or shorter than others. This kind of information is passed from both the father and the mother to their children and on to their grandchildren, from one generation to the next. Some of these genes may prevent some people from getting certain illnesses. Other genes may be one of the reasons why some people get sick or have side effects from some medicines when others do not. We are still learning how genes might contribute to different diseases, and how they work together with our lifestyle and other factors - such as our environment or what we eat - to affect our health. We want to explore whether genes may affect (</span>specific health phenotype under study<span style=""font-weight: normal;"">) in (</span>specific target population if relevant<span style=""font-weight: normal;"">).</span></p></div>",,,,,,,,,,,,," @readonly"
desc_study_eligibility,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>What do we do to decide if you are eligible to be take part?</p> <p><span style=""font-weight: normal;"">In our study, we want to learn more about [</span>specific disease phenotype<span style=""font-weight: normal;"">] in [</span>target study population<span style=""font-weight: normal;"">] so we are approaching any person who fits this description because they are the type of people who we want in our study.</span></p></div>",,,,,,,,,,,,," @readonly"
desc_study_population,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>How many people will take part in the study?</p> <p><span style=""font-weight: normal;"">There will [insert number] of participants including yourself if you agree to participate in the study.</span></p></div>",,,,,,,,,,,,," @readonly"
